year,scenario,scenario_label,nuts3,slr_m,flood_area_km2,flooded_pixels,gdp_at_risk_bn,buildings_count,buildings_value_bn,storeys
2060,ssp126,SSP1-2.6 (Low),Tâmega e Sousa,0.24,0.0,0,0.0,0.0,0.0,2.0
2060,ssp126,SSP1-2.6 (Low),Viseu Dão Lafões,0.24,0.0,0,0.0,0.0,0.0,2.0
2060,ssp126,SSP1-2.6 (Low),Área Metropolitana do Porto,0.24,0.033330595500000004,45,0.000630315,16.7,0.013258911,4.0
2075,ssp126,SSP1-2.6 (Low),Alentejo Central,0.3,0.0,0,0.0,0.0,0.0,2.0
2075,ssp126,SSP1-2.6 (Low),Alentejo Litoral,0.3,8.206733292000001,11080,0.004919866,246.2,0.073454367,1.5
2075,ssp126,SSP1-2.6 (Low),Algarve,0.3,7.684553962500001,10375,0.018907109,1536.9,0.917074677,3.0
2075,ssp126,SSP1-2.6 (Low),Alto Alentejo,0.3,0.0,0,0.0,0.0,0.0,2.0
2075,ssp126,SSP1-2.6 (Low),Alto Minho,0.3,0.2844210816,384,0.000511164,17.1,0.005091422,1.5
2075,ssp126,SSP1-2.6 (Low),Alto Tâmega e Barroso,0.3,0.0,0,0.0,0.0,0.0,2.0
2075,ssp126,SSP1-2.6 (Low),Ave,0.3,0.0,0,0.0,0.0,0.0,2.0
2075,ssp126,SSP1-2.6 (Low),Baixo Alentejo,0.3,0.0,0,0.0,0.0,0.0,1.5
2075,ssp126,SSP1-2.6 (Low),Beira Baixa,0.3,0.0,0,0.0,0.0,0.0,2.0
2075,ssp126,SSP1-2.6 (Low),Beiras e Serra da Estrela,0.3,0.0,0,0.0,0.0,0.0,2.0
2075,ssp126,SSP1-2.6 (Low),Cávado,0.3,0.025923796500000002,35,0.000169002,5.2,0.002578122,2.5
2075,ssp126,SSP1-2.6 (Low),Douro,0.3,0.0,0,0.0,0.0,0.0,2.0
2075,ssp126,SSP1-2.6 (Low),Grande Lisboa,0.3,11.295368475,15250,0.616193694,9036.3,8.986595227,5.0
2075,ssp126,SSP1-2.6 (Low),Lezíria do Tejo,0.3,3.3012103143,4457,0.003533001,132.0,0.039396644,1.5
2075,ssp126,SSP1-2.6 (Low),Médio Tejo,0.3,0.0,0,0.0,0.0,0.0,2.0
2075,ssp126,SSP1-2.6 (Low),Oeste,0.3,0.46810969680000003,632,0.00136588,56.2,0.027932106,2.5
2075,ssp126,SSP1-2.6 (Low),Península de Setúbal,0.3,3.0271587513,4087,0.024718567,1210.9,0.722522256,3.0
2075,ssp126,SSP1-2.6 (Low),Região de Aveiro,0.3,15.3972537612,20788,0.077366671,3849.3,1.914071123,2.5
2075,ssp126,SSP1-2.6 (Low),Região de Coimbra,0.3,9.4651484421,12779,0.019634038,757.2,0.376523608,2.5
2075,ssp126,SSP1-2.6 (Low),Região de Leiria,0.3,0.0014813598,2,3.887e-06,0.1,5.8928e-05,2.0
2075,ssp126,SSP1-2.6 (Low),Terras de Trás-os-Montes,0.3,0.0,0,0.0,0.0,0.0,2.0
2075,ssp126,SSP1-2.6 (Low),Tâmega e Sousa,0.3,0.0,0,0.0,0.0,0.0,2.0
2075,ssp126,SSP1-2.6 (Low),Viseu Dão Lafões,0.3,0.0,0,0.0,0.0,0.0,2.0
2075,ssp126,SSP1-2.6 (Low),Área Metropolitana do Porto,0.3,0.0422187543,57,0.000798398,21.1,0.016794621,4.0
2100,ssp126,SSP1-2.6 (Low),Alentejo Central,0.4,0.0,0,0.0,0.0,0.0,2.0
2100,ssp126,SSP1-2.6 (Low),Alentejo Litoral,0.4,11.0687204256,14944,0.006635603,332.1,0.099070583,1.5
2100,ssp126,SSP1-2.6 (Low),Algarve,0.4,11.871617437200001,16028,0.029208977,2374.3,1.416758836,3.0
2100,ssp126,SSP1-2.6 (Low),Alto Alentejo,0.4,0.0,0,0.0,0.0,0.0,2.0
2100,ssp126,SSP1-2.6 (Low),Alto Minho,0.4,0.5599540044,756,0.001006355,33.6,0.010023737,1.5
2100,ssp126,SSP1-2.6 (Low),Alto Tâmega e Barroso,0.4,0.0,0,0.0,0.0,0.0,2.0
2100,ssp126,SSP1-2.6 (Low),Ave,0.4,0.0,0,0.0,0.0,0.0,2.0
2100,ssp126,SSP1-2.6 (Low),Baixo Alentejo,0.4,0.0,0,0.0,0.0,0.0,1.5
2100,ssp126,SSP1-2.6 (Low),Beira Baixa,0.4,0.0,0,0.0,0.0,0.0,2.0
2100,ssp126,SSP1-2.6 (Low),Beiras e Serra da Estrela,0.4,0.0,0,0.0,0.0,0.0,2.0
2100,ssp126,SSP1-2.6 (Low),Cávado,0.4,0.0807341091,109,0.00052632,16.1,0.008029007,2.5
2100,ssp126,SSP1-2.6 (Low),Douro,0.4,0.0,0,0.0,0.0,0.0,2.0
2100,ssp126,SSP1-2.6 (Low),Grande Lisboa,0.4,17.682251252700002,23873,0.964615873,14145.8,14.067999203,5.0
2100,ssp126,SSP1-2.6 (Low),Lezíria do Tejo,0.4,5.982471552300001,8077,0.006402524,239.3,0.071394816,1.5
2100,ssp126,SSP1-2.6 (Low),Médio Tejo,0.4,0.0,0,0.0,0.0,0.0,2.0
2100,ssp126,SSP1-2.6 (Low),Oeste,0.4,0.7843800141,1059,0.002288713,94.1,0.046803956,2.5
2100,ssp126,SSP1-2.6 (Low),Península de Setúbal,0.4,4.7484988389,6411,0.038774342,1899.4,1.133371711,3.0
2100,ssp126,SSP1-2.6 (Low),Região de Aveiro,0.4,22.5351859575,30425,0.113232681,5633.8,2.801405325,2.5
2100,ssp126,SSP1-2.6 (Low),Região de Coimbra,0.4,11.747923893900001,15861,0.024369315,939.8,0.467332416,2.5
