feature,feature_label,sub_type,type_label,elev,length_km,value_eur,value_m_eur,mid_lat,mid_lon,start_lat,start_lon,end_lat,end_lon
road,Road,secondary,Secondary,0.5879804491996765,0.1904,95188.30920998869,0.1,38.75674,-9.282002,38.756692,-9.281604,38.756717,-9.283794
road,Road,tertiary,Tertiary,0.8137726783752441,1.0172,203432.04607432947,0.2,40.583265,-8.689792,40.578023,-8.689815,40.586956,-8.691237
road,Road,residential,Residential,1.0,0.2855,32838.240231894284,0.03,37.986364,-7.91889,37.985521,-7.920762,37.986179,-7.917871
road,Road,unclassified,Unclassified,0.5234907269477844,0.3797,43670.57453554722,0.04,41.600549,-8.709771,41.600483,-8.711512,41.60046,-8.707097
road,Road,residential,Residential,0.5879688858985901,0.1453,16707.406634398525,0.02,37.801303,-8.674701,37.800721,-8.674912,37.801989,-8.674815
road,Road,primary,Primary,0.5,0.0402,80307.54144593856,0.08,38.017266,-8.69698,38.017165,-8.696911,38.017165,-8.696911
road,Road,unclassified,Unclassified,0.3928655385971069,0.0746,8584.138640076088,0.01,38.149959,-8.464603,38.149429,-8.465125,38.149959,-8.464603
road,Road,primary,Primary,0.8843244910240173,0.0074,14811.018511903276,0.01,38.066766,-8.11886,38.066783,-8.118824,38.066744,-8.118892
railway,Railway,rail,Rail,0.8518779873847961,1.4485,7242256.69033003,7.24,40.641547,-8.726448,40.641973,-8.721238,40.648916,-8.732679
road,Road,tertiary,Tertiary,0.6989985108375549,0.9292,185848.3449546596,0.19,37.966569,-8.799448,37.96913,-8.806,37.964738,-8.798161
road,Road,unclassified,Unclassified,0.6406608819961548,0.4392,50509.747096553205,0.05,39.331748,-9.030153,39.333216,-9.028586,39.331001,-9.032451
road,Road,residential,Residential,0.9484316110610962,0.4108,47244.63253899996,0.05,38.055221,-7.982868,38.053708,-7.981128,38.05598,-7.98469
road,Road,unclassified,Unclassified,0.5,0.1585,18225.402755120555,0.02,37.700803,-8.076523,37.700817,-8.076426,37.700495,-8.078181
road,Road,residential,Residential,0.9968532919883728,0.0137,1575.7742345359711,0.0,37.512553,-8.058325,37.512599,-8.058337,37.51249,-8.05827
road,Road,residential,Residential,0.9968532919883728,0.1221,14044.983494884706,0.01,37.665232,-8.175526,37.66485,-8.175992,37.665591,-8.174983
road,Road,primary,Primary,0.3486670255661011,0.735,1470034.802738073,1.47,40.572302,-8.682324,40.567954,-8.682496,40.573979,-8.680384
road,Road,residential,Residential,1.0057651996612549,0.0142,1634.6593327207236,0.0,37.704082,-8.084985,37.704073,-8.084918,37.704076,-8.085078
road,Road,residential,Residential,0.9893710017204284,0.0778,8950.571653175844,0.01,38.018769,-8.695089,38.019269,-8.694798,38.018623,-8.69513
road,Road,unclassified,Unclassified,0.387756884098053,0.0138,1588.4035318741023,0.0,37.67773,-8.036498,37.677846,-8.036442,37.67773,-8.036498
road,Road,residential,Residential,0.9893710017204284,0.0134,1545.15071759602,0.0,37.730712,-8.775182,37.730797,-8.77529,37.730712,-8.775182
road,Road,tertiary,Tertiary,0.3214728534221649,2.2654,453079.5971437968,0.45,40.584156,-8.752662,40.59945,-8.74986,40.579586,-8.754794
