year,scenario,slr_m,nuts3,flooded_pixels,total_pixels,fraction_flooded,gdp_2022_eur,gdp_at_risk_eur
2034,ssp126,0.096,Região de Coimbra,4601,5944890,0.00077394,9133907000.0,7069114.0
2034,ssp126,0.096,Região de Leiria,1,3339196,3e-07,6490351000.0,1944.0
2034,ssp126,0.096,Terras de Trás-os-Montes,0,88881,0.0,1790127000.0,0.0
2034,ssp126,0.096,Tâmega e Sousa,0,2547800,0.0,6047036000.0,0.0
2034,ssp126,0.096,Viseu Dão Lafões,0,4470914,0.0,4590096000.0,0.0
2034,ssp126,0.096,Área Metropolitana do Porto,28,2835070,9.88e-06,39710799000.0,392196.0
2035,ssp126,0.1025,Alentejo Central,0,9513995,0.0,2958516000.0,0.0
2035,ssp126,0.1025,Alentejo Litoral,3513,7057470,0.00049777,3133737000.0,1559882.0
2035,ssp126,0.1025,Algarve,2532,6576139,0.00038503,11984171000.0,4614246.0
2035,ssp126,0.1025,Alto Alentejo,0,6846985,0.0,1798575000.0,0.0
2035,ssp126,0.1025,Alto Minho,49,3118798,1.571e-05,4151610000.0,65227.0
2035,ssp126,0.1025,Alto Tâmega e Barroso,0,3727313,0.0,1241947000.0,0.0
2035,ssp126,0.1025,Ave,0,2028246,0.0,8045336000.0,0.0
2035,ssp126,0.1025,Baixo Alentejo,0,10402855,0.0,2588500000.0,0.0
2035,ssp126,0.1025,Beira Baixa,0,4429690,0.0,1869355000.0,0.0
2035,ssp126,0.1025,Beiras e Serra da Estrela,0,4230651,0.0,3339166000.0,0.0
2035,ssp126,0.1025,Cávado,2,1744158,1.15e-06,8421876000.0,9657.0
2035,ssp126,0.1025,Douro,0,3853582,0.0,3054160000.0,0.0
2035,ssp126,0.1025,Grande Lisboa,3790,1869180,0.00202763,75526356000.0,153139285.0
2035,ssp126,0.1025,Lezíria do Tejo,651,5770151,0.00011282,4573917000.0,516038.0
2035,ssp126,0.1025,Médio Tejo,0,3675180,0.0,3853435000.0,0.0
2035,ssp126,0.1025,Oeste,123,3003380,4.095e-05,6490912000.0,265828.0
2035,ssp126,0.1025,Península de Setúbal,979,2178612,0.00044937,13176454000.0,5921086.0
2035,ssp126,0.1025,Região de Aveiro,5670,2335224,0.00242803,8691000000.0,21102031.0
2035,ssp126,0.1025,Região de Coimbra,4901,5944890,0.00082441,9133907000.0,7530043.0
2035,ssp126,0.1025,Região de Leiria,1,3339196,3e-07,6490351000.0,1944.0
2035,ssp126,0.1025,Terras de Trás-os-Montes,0,88881,0.0,1790127000.0,0.0
2035,ssp126,0.1025,Tâmega e Sousa,0,2547800,0.0,6047036000.0,0.0
2035,ssp126,0.1025,Viseu Dão Lafões,0,4470914,0.0,4590096000.0,0.0
2035,ssp126,0.1025,Área Metropolitana do Porto,29,2835070,1.023e-05,39710799000.0,406203.0
2036,ssp126,0.109,Alentejo Central,0,9513995,0.0,2958516000.0,0.0
2036,ssp126,0.109,Alentejo Litoral,3747,7057470,0.00053093,3133737000.0,1663785.0
2036,ssp126,0.109,Algarve,2724,6576139,0.00041422,11984171000.0,4964141.0
