section,lat,lon,elev_m,flood_zone
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.808523,-9.088535,0.0,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.808964,-9.088422,0.0,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.809405,-9.088309,0.0,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.809846,-9.088197,0.0,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.810287,-9.088084,0.0,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.027913,-8.919131,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.027584,-8.919525,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.027255,-8.91992,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.026926,-8.920314,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.026597,-8.920709,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.026268,-8.921103,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.025939,-8.921497,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.025609,-8.921892,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.02528,-8.922286,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.024951,-8.92268,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.024622,-8.923075,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.024293,-8.923469,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.023964,-8.923864,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.023635,-8.924258,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.023306,-8.924652,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.022976,-8.925047,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.022647,-8.925441,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.022318,-8.925835,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.021989,-8.92623,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
