point_index,lat,lon,elevation_m,below_threshold
1210,40.668766,-8.615096,25.589,False
1211,40.669521,-8.614452,25.849,False
1212,40.670277,-8.613809,25.131,False
1213,40.671032,-8.613166,22.499,False
1214,40.671788,-8.612523,22.113,False
1215,40.672543,-8.611879,22.938,False
1216,40.673298,-8.611236,22.836,False
1217,40.674054,-8.610593,22.312,False
1218,40.674809,-8.60995,21.706,False
1219,40.675565,-8.609306,22.788,False
1220,40.67632,-8.608663,21.899,False
1221,40.677076,-8.60802,22.013,False
1222,40.677827,-8.60737,23.061,False
1223,40.678555,-8.606673,23.387,False
1224,40.679303,-8.606016,23.992,False
1225,40.68002,-8.6053,23.918,False
1226,40.680705,-8.604533,21.523,False
1227,40.681346,-8.603702,21.485,False
1228,40.681949,-8.602823,19.766,False
1229,40.68251,-8.601897,19.482,False
1230,40.683071,-8.60097,16.573,False
1231,40.683633,-8.600043,16.011,False
1232,40.683355,-8.600317,16.068,False
1233,40.682701,-8.601131,17.35,False
1234,40.682046,-8.601944,20.033,False
1235,40.681391,-8.602757,22.33,False
1236,40.680737,-8.60357,23.403,False
1237,40.680082,-8.604383,22.659,False
1238,40.679427,-8.605196,24.25,False
1239,40.678773,-8.606009,23.97,False
1240,40.678118,-8.606822,23.716,False
1241,40.677463,-8.607635,22.773,False
1242,40.67674,-8.608336,21.62,False
1243,40.677135,-8.607733,22.811,False
1244,40.677756,-8.606875,24.045,False
1245,40.678378,-8.606018,24.411,False
1246,40.678999,-8.60516,24.708,False
1247,40.67962,-8.604303,23.579,False
1248,40.680241,-8.603445,23.58,False
1249,40.680863,-8.602588,24.254,False
1250,40.681484,-8.60173,21.165,False
1251,40.682105,-8.600873,19.374,False
1252,40.682726,-8.600016,16.719,False
1253,40.683348,-8.599158,16.201,False
1254,40.683969,-8.598301,14.278,False
1255,40.68459,-8.597443,13.856,False
1256,40.685211,-8.596586,10.171,False
1257,40.685833,-8.595728,9.201,False
1258,40.686454,-8.594871,9.726,False
1259,40.687075,-8.594013,9.971,False
1260,40.687696,-8.593156,12.233,False
1261,40.688318,-8.592298,10.544,False
1262,40.688939,-8.591441,6.949,False
1263,40.689576,-8.590605,4.994,False
1264,40.690239,-8.589803,5.27,False
1265,40.690903,-8.589003,3.786,False
1266,40.691566,-8.588202,1.994,True
1267,40.69223,-8.587401,1.99,True
1268,40.692893,-8.586601,6.014,False
1269,40.693557,-8.5858,5.254,False
1270,40.694221,-8.585,4.392,False
1271,40.694884,-8.584199,3.421,False
1272,40.695548,-8.583398,4.114,False
1273,40.696211,-8.582598,5.961,False
1274,40.696875,-8.581797,5.482,False
1275,40.697539,-8.580997,7.355,False
1276,40.698202,-8.580196,6.615,False
1277,40.698866,-8.579395,6.774,False
1278,40.699529,-8.578595,4.813,False
1279,40.700193,-8.577794,3.939,False
1280,40.700857,-8.576994,3.431,False
1281,40.70152,-8.576193,2.173,True
1282,40.702184,-8.575392,3.315,False
1283,40.702847,-8.574592,4.597,False
1284,40.703511,-8.573791,4.326,False
1285,40.704175,-8.572991,2.86,True
1286,40.704838,-8.57219,2.839,True
1287,40.705502,-8.57139,3.134,False
1288,40.706165,-8.570589,4.264,False
1289,40.706829,-8.569788,4.027,False
1290,40.707493,-8.568988,2.739,True
1291,40.708155,-8.568186,2.232,True
1292,40.708816,-8.567381,2.978,True
1293,40.70965,-8.566963,2.393,True
1294,40.710504,-8.56659,1.392,True
1295,40.711357,-8.566217,1.771,True
1296,40.712211,-8.565844,2.718,True
1297,40.713065,-8.565471,2.128,True
1298,40.713918,-8.565098,1.79,True
1299,40.714772,-8.564725,2.224,True
1300,40.715626,-8.564352,3.188,False
1301,40.716485,-8.564052,5.222,False
1302,40.717375,-8.564216,6.116,False
1303,40.718273,-8.564262,7.816,False
1304,40.719172,-8.564289,6.311,False
1305,40.720071,-8.564316,4.054,False
1306,40.72097,-8.564342,3.412,False
1307,40.72187,-8.564369,2.418,True
1308,40.722769,-8.564396,1.92,True
1309,40.723668,-8.564423,2.548,True
1310,40.724567,-8.56445,1.728,True
1311,40.725466,-8.564477,2.468,True
1312,40.726365,-8.564504,3.814,False
1313,40.727264,-8.564531,6.175,False
1314,40.728151,-8.564695,6.544,False
1315,40.728717,-8.564803,6.611,False
1316,40.727837,-8.564557,6.994,False
1317,40.726943,-8.564472,5.639,False
1318,40.726044,-8.564445,3.483,False
1319,40.725145,-8.564419,1.944,True
1320,40.724246,-8.564392,2.414,True
1321,40.723347,-8.564365,2.365,True
1322,40.722448,-8.564338,2.067,True
1323,40.721549,-8.564311,2.874,True
1324,40.72065,-8.564284,3.845,False
1325,40.71975,-8.564257,4.954,False
1326,40.718851,-8.564231,7.373,False
1327,40.717952,-8.564204,7.065,False
1328,40.717057,-8.564108,6.286,False
1329,40.716175,-8.564065,4.614,False
1330,40.715321,-8.564438,2.832,True
1331,40.714468,-8.56481,2.112,True
1332,40.713614,-8.565183,1.816,True
1333,40.71276,-8.565556,2.497,True
1334,40.711906,-8.565929,2.54,True
1335,40.711052,-8.566302,1.605,True
1336,40.710199,-8.566675,1.694,True
1337,40.709345,-8.567047,2.862,True
1338,40.708574,-8.567606,2.717,True
1339,40.707913,-8.568411,2.388,True
1340,40.707249,-8.569211,3.038,False
1341,40.706585,-8.570011,4.349,False
1342,40.705921,-8.570811,4.181,False
1343,40.705257,-8.571611,2.909,True
1344,40.704593,-8.572411,2.724,True
1345,40.703929,-8.573211,3.206,False
1346,40.703265,-8.574011,4.674,False
1347,40.702601,-8.574811,4.225,False
1348,40.701937,-8.575611,3.011,False
1349,40.701273,-8.576411,2.637,True
1350,40.700609,-8.577211,3.385,False
1351,40.699945,-8.578011,4.455,False
1352,40.699281,-8.578811,5.486,False
1353,40.698617,-8.579611,6.679,False
1354,40.697953,-8.580411,6.913,False
1355,40.697289,-8.581211,6.657,False
1356,40.696625,-8.582011,5.397,False
1357,40.695961,-8.582811,6.013,False
1358,40.695297,-8.583611,3.552,False
1359,40.694633,-8.584411,3.404,False
1360,40.693969,-8.585211,4.653,False
1361,40.693305,-8.586011,5.656,False
1362,40.692641,-8.586811,4.516,False
1363,40.691977,-8.587611,1.99,True
1364,40.691313,-8.588411,2.161,True
1365,40.690649,-8.589211,4.823,False
1366,40.689985,-8.590011,4.968,False
1367,40.689321,-8.590811,5.764,False
1368,40.688708,-8.591675,8.111,False
1369,40.688145,-8.5926,11.346,False
1370,40.68759,-8.593534,10.85,False
1371,40.687036,-8.594468,9.368,False
1372,40.686482,-8.595402,9.304,False
1373,40.685903,-8.596308,9.278,False
1374,40.685948,-8.59617,9.214,False
1375,40.686468,-8.595204,9.456,False
1376,40.687015,-8.594262,9.521,False
1377,40.687562,-8.59332,11.8,False
1378,40.688117,-8.592388,11.71,False
1379,40.688197,-8.591811,11.009,False
1380,40.688408,-8.590683,8.96,False
1381,40.688725,-8.589862,7.53,False
1382,40.688281,-8.590894,9.712,False
1383,40.687838,-8.591926,12.879,False
1384,40.687394,-8.592958,13.538,False
1385,40.686951,-8.59399,10.126,False
1386,40.686513,-8.595025,9.529,False
