lat,lon,elev_m,flood_zone
39.005489,-8.966809,4.585,"Carregado / Azambuja (events: 2022, 2026)"
39.00861,-8.964506,4.586,"Carregado / Azambuja (events: 2022, 2026)"
39.013345,-8.966219,4.587,"Carregado / Azambuja (events: 2022, 2026)"
39.005418,-8.966397,4.589,"Carregado / Azambuja (events: 2022, 2026)"
39.043157,-8.949251,4.591,"Carregado / Azambuja (events: 2022, 2026)"
39.070931,-8.936632,4.594,"Carregado / Azambuja (events: 2022, 2026)"
39.005664,-8.967045,4.596,"Carregado / Azambuja (events: 2022, 2026)"
39.009529,-8.966506,4.597,"Carregado / Azambuja (events: 2022, 2026)"
39.009551,-8.966497,4.6,"Carregado / Azambuja (events: 2022, 2026)"
39.009531,-8.966502,4.601,"Carregado / Azambuja (events: 2022, 2026)"
39.00973,-8.966485,4.603,"Carregado / Azambuja (events: 2022, 2026)"
39.041739,-8.950694,4.603,"Carregado / Azambuja (events: 2022, 2026)"
39.00945,-8.966534,4.605,"Carregado / Azambuja (events: 2022, 2026)"
39.010356,-8.96785,4.608,"Carregado / Azambuja (events: 2022, 2026)"
39.013105,-8.96585,4.609,"Carregado / Azambuja (events: 2022, 2026)"
39.009505,-8.966503,4.61,"Carregado / Azambuja (events: 2022, 2026)"
39.005465,-8.966809,4.612,"Carregado / Azambuja (events: 2022, 2026)"
39.009754,-8.966489,4.614,"Carregado / Azambuja (events: 2022, 2026)"
39.011008,-8.96763,4.615,"Carregado / Azambuja (events: 2022, 2026)"
38.983529,-8.972736,4.617,"Carregado / Azambuja (events: 2022, 2026)"
39.009465,-8.966508,4.618,"Carregado / Azambuja (events: 2022, 2026)"
39.009755,-8.966485,4.619,"Carregado / Azambuja (events: 2022, 2026)"
39.011793,-8.963068,4.622,"Carregado / Azambuja (events: 2022, 2026)"
39.009949,-8.966697,4.624,"Carregado / Azambuja (events: 2022, 2026)"
39.013112,-8.966356,4.625,"Carregado / Azambuja (events: 2022, 2026)"
39.009776,-8.966482,4.636,"Carregado / Azambuja (events: 2022, 2026)"
39.01353,-8.966401,4.642,"Carregado / Azambuja (events: 2022, 2026)"
39.002246,-8.967382,4.643,"Carregado / Azambuja (events: 2022, 2026)"
39.005634,-8.96705,4.645,"Carregado / Azambuja (events: 2022, 2026)"
39.00564,-8.965848,4.647,"Carregado / Azambuja (events: 2022, 2026)"
39.013539,-8.966404,4.649,"Carregado / Azambuja (events: 2022, 2026)"
39.005426,-8.966828,4.663,"Carregado / Azambuja (events: 2022, 2026)"
39.071143,-8.936536,4.663,"Carregado / Azambuja (events: 2022, 2026)"
39.005497,-8.966924,4.665,"Carregado / Azambuja (events: 2022, 2026)"
39.009276,-8.966751,4.666,"Carregado / Azambuja (events: 2022, 2026)"
39.006645,-8.966993,4.671,"Carregado / Azambuja (events: 2022, 2026)"
39.013115,-8.965135,4.675,"Carregado / Azambuja (events: 2022, 2026)"
39.024582,-8.958387,4.68,"Carregado / Azambuja (events: 2022, 2026)"
39.002238,-8.967842,4.68,"Carregado / Azambuja (events: 2022, 2026)"
39.0099,-8.966507,4.682,"Carregado / Azambuja (events: 2022, 2026)"
39.041946,-8.950583,4.682,"Carregado / Azambuja (events: 2022, 2026)"
39.009326,-8.966631,4.682,"Carregado / Azambuja (events: 2022, 2026)"
39.005411,-8.966837,4.682,"Carregado / Azambuja (events: 2022, 2026)"
39.006853,-8.966437,4.683,"Carregado / Azambuja (events: 2022, 2026)"
39.03916,-8.950703,4.685,"Carregado / Azambuja (events: 2022, 2026)"
39.005345,-8.966733,4.687,"Carregado / Azambuja (events: 2022, 2026)"
39.002233,-8.967086,4.688,"Carregado / Azambuja (events: 2022, 2026)"
39.013183,-8.966893,4.692,"Carregado / Azambuja (events: 2022, 2026)"
39.009255,-8.966763,4.692,"Carregado / Azambuja (events: 2022, 2026)"
39.041531,-8.950806,4.692,"Carregado / Azambuja (events: 2022, 2026)"
39.042945,-8.949347,4.697,"Carregado / Azambuja (events: 2022, 2026)"
39.071194,-8.936229,4.698,"Carregado / Azambuja (events: 2022, 2026)"
39.01309,-8.966442,4.699,"Carregado / Azambuja (events: 2022, 2026)"
38.985428,-8.971839,4.699,"Carregado / Azambuja (events: 2022, 2026)"
39.008598,-8.964952,4.706,"Carregado / Azambuja (events: 2022, 2026)"
39.038735,-8.950895,4.709,"Carregado / Azambuja (events: 2022, 2026)"
39.043606,-8.949692,4.71,"Carregado / Azambuja (events: 2022, 2026)"
39.024373,-8.958494,4.71,"Carregado / Azambuja (events: 2022, 2026)"
39.038099,-8.951182,4.712,"Carregado / Azambuja (events: 2022, 2026)"
39.006588,-8.967281,4.713,"Carregado / Azambuja (events: 2022, 2026)"
39.013121,-8.966236,4.715,"Carregado / Azambuja (events: 2022, 2026)"
39.005299,-8.966752,4.732,"Carregado / Azambuja (events: 2022, 2026)"
39.009914,-8.966472,4.736,"Carregado / Azambuja (events: 2022, 2026)"
39.042361,-8.95036,4.741,"Carregado / Azambuja (events: 2022, 2026)"
39.011878,-8.967335,4.742,"Carregado / Azambuja (events: 2022, 2026)"
39.005573,-8.96947,4.746,"Carregado / Azambuja (events: 2022, 2026)"
39.042154,-8.950472,4.748,"Carregado / Azambuja (events: 2022, 2026)"
39.01308,-8.966398,4.75,"Carregado / Azambuja (events: 2022, 2026)"
39.000568,-8.967446,4.75,"Carregado / Azambuja (events: 2022, 2026)"
39.011581,-8.963164,4.751,"Carregado / Azambuja (events: 2022, 2026)"
39.010001,-8.96665,4.761,"Carregado / Azambuja (events: 2022, 2026)"
39.009327,-8.966512,4.77,"Carregado / Azambuja (events: 2022, 2026)"
39.002298,-8.967305,4.771,"Carregado / Azambuja (events: 2022, 2026)"
