section,section_type,scenario,year,variant,slr_m,return_period_yr,events_per_year,days_per_event,closure_days_yr
Mondego Valley (km 240–244),railway,SSP1-2.6,2095,Baseline,0.38,0.29,3.482,8.8,30.6
Mondego Valley (km 240–244),railway,SSP1-2.6,2095,+Geoid,0.53,0.1,9.849,10.3,101.4
Mondego Valley (km 240–244),railway,SSP1-2.6,2096,Baseline,0.384,0.28,3.58,8.8,31.6
Mondego Valley (km 240–244),railway,SSP1-2.6,2096,+Geoid,0.534,0.1,10.126,10.3,104.7
Mondego Valley (km 240–244),railway,SSP1-2.6,2097,Baseline,0.388,0.27,3.681,8.9,32.7
Mondego Valley (km 240–244),railway,SSP1-2.6,2097,+Geoid,0.538,0.1,10.411,10.4,108.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2098,Baseline,0.392,0.26,3.784,8.9,33.8
Mondego Valley (km 240–244),railway,SSP1-2.6,2098,+Geoid,0.542,0.09,10.703,10.4,111.5
Mondego Valley (km 240–244),railway,SSP1-2.6,2099,Baseline,0.396,0.26,3.891,9.0,34.9
Mondego Valley (km 240–244),railway,SSP1-2.6,2099,+Geoid,0.546,0.09,11.004,10.5,115.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2100,Baseline,0.4,0.25,4.0,9.0,36.0
Mondego Valley (km 240–244),railway,SSP1-2.6,2100,+Geoid,0.55,0.09,11.314,10.5,118.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2025,Baseline,0.05,2.83,0.354,5.5,1.9
Mondego Valley (km 240–244),railway,SSP2-4.5,2025,+Geoid,0.2,1.0,1.0,7.0,7.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2026,Baseline,0.06,2.64,0.379,5.6,2.1
Mondego Valley (km 240–244),railway,SSP2-4.5,2026,+Geoid,0.21,0.93,1.072,7.1,7.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2027,Baseline,0.07,2.46,0.406,5.7,2.3
Mondego Valley (km 240–244),railway,SSP2-4.5,2027,+Geoid,0.22,0.87,1.149,7.2,8.3
Mondego Valley (km 240–244),railway,SSP2-4.5,2028,Baseline,0.08,2.3,0.435,5.8,2.5
Mondego Valley (km 240–244),railway,SSP2-4.5,2028,+Geoid,0.23,0.81,1.231,7.3,9.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2029,Baseline,0.09,2.14,0.467,5.9,2.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2029,+Geoid,0.24,0.76,1.32,7.4,9.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2030,Baseline,0.1,2.0,0.5,6.0,3.0
Mondego Valley (km 240–244),railway,SSP2-4.5,2030,+Geoid,0.25,0.71,1.414,7.5,10.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2031,Baseline,0.11,1.87,0.536,6.1,3.3
Mondego Valley (km 240–244),railway,SSP2-4.5,2031,+Geoid,0.26,0.66,1.516,7.6,11.5
Mondego Valley (km 240–244),railway,SSP2-4.5,2032,Baseline,0.12,1.74,0.574,6.2,3.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2032,+Geoid,0.27,0.62,1.625,7.7,12.5
Mondego Valley (km 240–244),railway,SSP2-4.5,2033,Baseline,0.13,1.62,0.616,6.3,3.9
Mondego Valley (km 240–244),railway,SSP2-4.5,2033,+Geoid,0.28,0.57,1.741,7.8,13.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2034,Baseline,0.14,1.52,0.66,6.4,4.2
Mondego Valley (km 240–244),railway,SSP2-4.5,2034,+Geoid,0.29,0.54,1.866,7.9,14.7
Mondego Valley (km 240–244),railway,SSP2-4.5,2035,Baseline,0.15,1.41,0.707,6.5,4.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2035,+Geoid,0.3,0.5,2.0,8.0,16.0
