scenario,variant,option,option_name,capex_low_M,capex_high_M,key_year,cum_no_adapt_bn,cum_adapt_bn,savings_bn,be_year_low_capex,be_year_mid_capex,be_year_hi_capex
SSP5-8.5,baseline,3,Dynamic traffic management protocol,4.2,7.8,2030,0.0025,0.0013,0.0013,2037,2040,2041
SSP5-8.5,baseline,3,Dynamic traffic management protocol,4.2,7.8,2050,0.047,0.0235,0.0235,2037,2040,2041
SSP5-8.5,baseline,3,Dynamic traffic management protocol,4.2,7.8,2075,0.5978,0.2989,0.2989,2037,2040,2041
SSP5-8.5,baseline,3,Dynamic traffic management protocol,4.2,7.8,2100,6.1737,3.1004,3.0734,2037,2040,2041
SSP5-8.5,+geoid,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2030,0.009,0.0045,0.0045,2058,2061,2063
SSP5-8.5,+geoid,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2050,0.158,0.079,0.079,2058,2061,2063
SSP5-8.5,+geoid,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2075,1.9274,0.9637,0.9637,2058,2061,2063
SSP5-8.5,+geoid,1a,Elevated road — SSP2-4.5 lower bound (+0.98 m),180.0,300.0,2100,12.645,8.7353,3.9097,2058,2061,2063
SSP5-8.5,+geoid,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2030,0.009,0.0045,0.0045,2058,2061,2063
SSP5-8.5,+geoid,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2050,0.158,0.079,0.079,2058,2061,2063
SSP5-8.5,+geoid,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2075,1.9274,0.9637,0.9637,2058,2061,2063
SSP5-8.5,+geoid,1b,Elevated road — SSP5-8.5 design (+1.37 m),180.0,300.0,2100,12.645,8.7353,3.9097,2058,2061,2063
SSP5-8.5,+geoid,2,Perimeter barriers + smart drainage,43.9,73.1,2030,0.009,0.005,0.004,2046,2049,2051
SSP5-8.5,+geoid,2,Perimeter barriers + smart drainage,43.9,73.1,2050,0.158,0.0878,0.0702,2046,2049,2051
SSP5-8.5,+geoid,2,Perimeter barriers + smart drainage,43.9,73.1,2075,1.9274,1.0708,0.8566,2046,2049,2051
SSP5-8.5,+geoid,2,Perimeter barriers + smart drainage,43.9,73.1,2100,12.645,9.331,3.314,2046,2049,2051
SSP5-8.5,+geoid,3,Dynamic traffic management protocol,4.2,7.8,2030,0.009,0.0045,0.0045,2030,2032,2033
SSP5-8.5,+geoid,3,Dynamic traffic management protocol,4.2,7.8,2050,0.158,0.079,0.079,2030,2032,2033
SSP5-8.5,+geoid,3,Dynamic traffic management protocol,4.2,7.8,2075,1.9274,0.9637,0.9637,2030,2032,2033
SSP5-8.5,+geoid,3,Dynamic traffic management protocol,4.2,7.8,2100,12.645,8.7353,3.9097,2030,2032,2033
