point_index,lat,lon,elevation_m,below_threshold
661,40.781403,-8.578496,22.161,False
662,40.781692,-8.578291,22.133,False
663,40.781028,-8.577489,23.127,False
664,40.780365,-8.576687,25.348,False
665,40.779702,-8.575885,26.398,False
666,40.778956,-8.575238,26.581,False
667,40.77843,-8.575798,25.797,False
668,40.77812,-8.576913,23.004,False
669,40.77767,-8.577741,21.989,False
670,40.776792,-8.577488,22.915,False
671,40.775904,-8.577329,22.72,False
672,40.776145,-8.578261,19.702,False
673,40.777023,-8.578332,20.987,False
674,40.77792,-8.578415,21.464,False
675,40.778818,-8.578498,20.958,False
676,40.779715,-8.578582,21.849,False
677,40.780612,-8.578665,22.377,False
678,40.781509,-8.578748,22.078,False
679,40.782406,-8.578836,22.157,False
680,40.7833,-8.578955,23.193,False
681,40.782991,-8.578966,22.819,False
682,40.782094,-8.578881,22.078,False
683,40.781197,-8.578796,22.164,False
684,40.7803,-8.578712,22.245,False
685,40.779403,-8.578627,21.478,False
686,40.778506,-8.578542,21.24,False
687,40.777609,-8.578457,21.574,False
688,40.776712,-8.578373,19.977,False
689,40.775815,-8.578288,20.048,False
690,40.774918,-8.578203,20.506,False
691,40.774021,-8.578118,22.1,False
692,40.773124,-8.578034,22.68,False
693,40.772227,-8.577949,21.216,False
694,40.77133,-8.577864,18.536,False
695,40.770433,-8.577779,17.872,False
696,40.769536,-8.577695,18.36,False
697,40.768639,-8.57761,21.306,False
698,40.767742,-8.577525,20.905,False
699,40.766844,-8.57744,21.823,False
700,40.765947,-8.577356,18.708,False
701,40.76505,-8.577271,16.489,False
702,40.764153,-8.577186,16.278,False
703,40.763256,-8.577101,16.515,False
704,40.762359,-8.577017,16.53,False
705,40.761462,-8.576932,15.335,False
706,40.760565,-8.576847,14.028,False
707,40.759668,-8.576762,13.497,False
708,40.758771,-8.576678,12.375,False
709,40.757874,-8.576593,12.074,False
710,40.756977,-8.576508,12.093,False
711,40.75608,-8.576423,10.853,False
712,40.755183,-8.576338,8.322,False
713,40.754286,-8.576254,6.67,False
714,40.753389,-8.576169,6.79,False
715,40.752493,-8.576078,6.319,False
716,40.751604,-8.575893,5.335,False
717,40.750742,-8.575556,4.672,False
718,40.749885,-8.575198,5.531,False
719,40.750205,-8.575078,6.433,False
720,40.751104,-8.575078,7.798,False
721,40.752003,-8.575078,9.268,False
722,40.752903,-8.575078,9.857,False
723,40.753802,-8.575078,9.421,False
724,40.754701,-8.575078,9.816,False
725,40.755601,-8.575078,11.69,False
