section,lat,lon,elev_m,flood_zone
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.981488,-8.885665,1.283,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.969849,-8.865091,1.284,Alverca / Vila Franca de Xira (events: 2026)
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.975177,-8.879211,1.289,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.982951,-8.896292,1.289,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.975088,-8.879299,1.296,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.983731,-8.887668,1.299,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.972727,-8.860464,1.302,Alverca / Vila Franca de Xira (events: 2026)
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.975122,-8.879398,1.306,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.983109,-8.886625,1.34,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.983409,-8.887225,1.341,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.983411,-8.897286,1.344,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.980183,-8.88251,1.361,"Carregado / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.963536,-8.852432,1.364,Alverca / Vila Franca de Xira (events: 2026)
B — Vila Franca de Xira → Azambuja/Carregado (~18 km),38.966859,-8.849692,1.368,Alverca / Vila Franca de Xira (events: 2026)
