idx,lat,lon,elev_m,below_threshold,flood_zone,note
145,38.643452,-8.976003,22.231,False,Rail south approach (Fertagus) (tidal/SLR exposure),
146,38.643079,-8.976326,22.06,False,Rail south approach (Fertagus) (tidal/SLR exposure),
147,38.642707,-8.976649,22.36,False,Rail south approach (Fertagus) (tidal/SLR exposure),
148,38.642335,-8.976973,22.643,False,Rail south approach (Fertagus) (tidal/SLR exposure),
149,38.641963,-8.977296,22.941,False,Rail south approach (Fertagus) (tidal/SLR exposure),
150,38.641591,-8.977619,22.815,False,Rail south approach (Fertagus) (tidal/SLR exposure),
151,38.641219,-8.977942,21.911,False,Rail south approach (Fertagus) (tidal/SLR exposure),
152,38.64085,-8.978271,20.766,False,Rail south approach (Fertagus) (tidal/SLR exposure),
153,38.640645,-8.978287,20.915,False,Rail south approach (Fertagus) (tidal/SLR exposure),
154,38.640991,-8.97792,21.295,False,Rail south approach (Fertagus) (tidal/SLR exposure),
155,38.641353,-8.977579,22.436,False,Rail south approach (Fertagus) (tidal/SLR exposure),
156,38.641714,-8.977237,22.707,False,Rail south approach (Fertagus) (tidal/SLR exposure),
157,38.642076,-8.976895,22.318,False,Rail south approach (Fertagus) (tidal/SLR exposure),
158,38.642438,-8.976554,22.149,False,Rail south approach (Fertagus) (tidal/SLR exposure),
159,38.6428,-8.976212,21.831,False,Rail south approach (Fertagus) (tidal/SLR exposure),
160,38.643162,-8.97587,21.656,False,Rail south approach (Fertagus) (tidal/SLR exposure),
161,38.643524,-8.975528,22.411,False,Rail south approach (Fertagus) (tidal/SLR exposure),
162,38.643886,-8.975187,23.953,False,Rail south approach (Fertagus) (tidal/SLR exposure),
163,38.644277,-8.974904,25.338,False,Rail south approach (Fertagus) (tidal/SLR exposure),
164,38.644684,-8.974659,25.829,False,Rail south approach (Fertagus) (tidal/SLR exposure),
165,38.645091,-8.974414,25.679,False,Rail south approach (Fertagus) (tidal/SLR exposure),
166,38.645499,-8.974173,25.581,False,Rail south approach (Fertagus) (tidal/SLR exposure),
167,38.645909,-8.973937,27.125,False,Rail south approach (Fertagus) (tidal/SLR exposure),
168,38.646318,-8.973697,29.097,False,Rail south approach (Fertagus) (tidal/SLR exposure),
169,38.646722,-8.973445,30.755,False,Rail south approach (Fertagus) (tidal/SLR exposure),
170,38.647115,-8.973166,32.171,False,Rail south approach (Fertagus) (tidal/SLR exposure),
171,38.6475,-8.97287,33.138,False,Rail south approach (Fertagus) (tidal/SLR exposure),
172,38.64786,-8.972525,34.014,False,Rail south approach (Fertagus) (tidal/SLR exposure),
173,38.64822,-8.97218,35.282,False,Rail south approach (Fertagus) (tidal/SLR exposure),
174,38.648552,-8.971791,36.89,False,Rail south approach (Fertagus) (tidal/SLR exposure),
175,38.648872,-8.971388,37.266,False,Rail south approach (Fertagus) (tidal/SLR exposure),
176,38.649181,-8.97097,37.335,False,Rail south approach (Fertagus) (tidal/SLR exposure),
177,38.64949,-8.970551,37.876,False,Rail south approach (Fertagus) (tidal/SLR exposure),
178,38.649798,-8.970132,38.654,False,Rail south approach (Fertagus) (tidal/SLR exposure),
179,38.650107,-8.969713,38.627,False,Bridge south approach viaduct (structural SLR exposure),
180,38.650414,-8.969293,37.509,False,Bridge south approach viaduct (structural SLR exposure),
181,38.650721,-8.968872,36.65,False,Bridge south approach viaduct (structural SLR exposure),
182,38.651042,-8.96847,36.655,False,Bridge south approach viaduct (structural SLR exposure),
183,38.651372,-8.968078,36.054,False,Bridge south approach viaduct (structural SLR exposure),
184,38.651702,-8.967687,35.001,False,Bridge south approach viaduct (structural SLR exposure),
185,38.652068,-8.967355,33.295,False,Bridge south approach viaduct (structural SLR exposure),
186,38.652444,-8.967039,31.511,False,Bridge south approach viaduct (structural SLR exposure),
187,38.65282,-8.966723,30.178,False,Bridge south approach viaduct (structural SLR exposure),
188,38.653195,-8.966406,29.152,False,Bridge south approach viaduct (structural SLR exposure),
189,38.653571,-8.96609,27.376,False,Bridge south approach viaduct (structural SLR exposure),
190,38.653947,-8.965774,25.44,False,Bridge south approach viaduct (structural SLR exposure),
191,38.654323,-8.965458,24.02,False,Bridge south approach viaduct (structural SLR exposure),
192,38.654699,-8.965141,22.93,False,Bridge south approach viaduct (structural SLR exposure),
193,38.655074,-8.964825,22.753,False,Bridge south approach viaduct (structural SLR exposure),
194,38.65545,-8.964509,23.2,False,Bridge south approach viaduct (structural SLR exposure),
195,38.655826,-8.964192,23.17,False,Bridge south approach viaduct (structural SLR exposure),
196,38.656202,-8.963876,22.146,False,Bridge south approach viaduct (structural SLR exposure),
197,38.656577,-8.96356,21.507,False,Bridge south approach viaduct (structural SLR exposure),
198,38.656953,-8.963243,21.643,False,Bridge south approach viaduct (structural SLR exposure),
199,38.657329,-8.962927,21.588,False,Bridge south approach viaduct (structural SLR exposure),
200,38.657705,-8.962611,21.498,False,Bridge south approach viaduct (structural SLR exposure),
201,38.65808,-8.962294,21.456,False,Bridge south approach viaduct (structural SLR exposure),
202,38.658456,-8.961978,21.782,False,Bridge south approach viaduct (structural SLR exposure),
203,38.658832,-8.961662,22.077,False,Bridge south approach viaduct (structural SLR exposure),
204,38.659208,-8.961346,22.508,False,Bridge south approach viaduct (structural SLR exposure),
205,38.659584,-8.961029,22.261,False,Bridge south approach viaduct (structural SLR exposure),
206,38.659959,-8.960713,21.309,False,Bridge south approach viaduct (structural SLR exposure),
207,38.660335,-8.960397,20.439,False,Bridge south approach viaduct (structural SLR exposure),
208,38.660711,-8.96008,19.674,False,Bridge south approach viaduct (structural SLR exposure),
209,38.661087,-8.959764,19.47,False,Bridge south approach viaduct (structural SLR exposure),
210,38.661462,-8.959448,19.727,False,Bridge south approach viaduct (structural SLR exposure),
211,38.661838,-8.959131,20.084,False,Bridge south approach viaduct (structural SLR exposure),
212,38.662214,-8.958815,20.247,False,Bridge south approach viaduct (structural SLR exposure),
213,38.66259,-8.958499,19.897,False,Bridge south approach viaduct (structural SLR exposure),
214,38.662965,-8.958182,18.987,False,Bridge south approach viaduct (structural SLR exposure),
215,38.663341,-8.957866,17.926,False,Bridge south approach viaduct (structural SLR exposure),
216,38.663717,-8.95755,17.487,False,Bridge south approach viaduct (structural SLR exposure),
217,38.664093,-8.957234,17.168,False,Bridge south approach viaduct (structural SLR exposure),
218,38.664469,-8.956917,17.079,False,Bridge south approach viaduct (structural SLR exposure),
219,38.664844,-8.956601,17.218,False,Bridge south approach viaduct (structural SLR exposure),
220,38.66522,-8.956285,17.502,False,Bridge south approach viaduct (structural SLR exposure),
221,38.665596,-8.955968,17.982,False,Bridge south approach viaduct (structural SLR exposure),
222,38.665972,-8.955652,18.288,False,Bridge south approach viaduct (structural SLR exposure),
223,38.666347,-8.955336,18.06,False,Bridge south approach viaduct (structural SLR exposure),
224,38.666723,-8.955019,17.61,False,Bridge south approach viaduct (structural SLR exposure),
225,38.667099,-8.954703,17.741,False,Bridge south approach viaduct (structural SLR exposure),
226,38.667475,-8.954387,17.582,False,Bridge south approach viaduct (structural SLR exposure),
227,38.66785,-8.954071,16.754,False,Bridge south approach viaduct (structural SLR exposure),
228,38.668226,-8.953754,15.833,False,Bridge south approach viaduct (structural SLR exposure),
229,38.668602,-8.953438,15.581,False,Bridge south approach viaduct (structural SLR exposure),
230,38.668978,-8.953122,15.21,False,Bridge south approach viaduct (structural SLR exposure),
231,38.669354,-8.952805,14.477,False,Bridge south approach viaduct (structural SLR exposure),
232,38.669729,-8.952489,13.141,False,Bridge south approach viaduct (structural SLR exposure),
233,38.670105,-8.952173,11.933,False,Bridge south approach viaduct (structural SLR exposure),
234,38.670481,-8.951856,11.049,False,Bridge south approach viaduct (structural SLR exposure),
235,38.670857,-8.95154,10.597,False,Bridge south approach viaduct (structural SLR exposure),
236,38.671232,-8.951224,11.598,False,Bridge south approach viaduct (structural SLR exposure),
237,38.671608,-8.950907,12.943,False,Bridge south approach viaduct (structural SLR exposure),
238,38.671984,-8.950591,13.146,False,Bridge south approach viaduct (structural SLR exposure),
239,38.67236,-8.950275,11.683,False,Bridge south approach viaduct (structural SLR exposure),
240,38.672735,-8.949959,11.487,False,Bridge south approach viaduct (structural SLR exposure),
241,38.673111,-8.949642,12.807,False,Bridge south approach viaduct (structural SLR exposure),
242,38.673487,-8.949326,13.597,False,Bridge south approach viaduct (structural SLR exposure),
243,38.673863,-8.94901,13.156,False,Bridge south approach viaduct (structural SLR exposure),
244,38.674239,-8.948693,12.085,False,Bridge south approach viaduct (structural SLR exposure),
245,38.674614,-8.948377,10.608,False,Bridge south approach viaduct (structural SLR exposure),
246,38.67499,-8.948061,7.557,False,Bridge south approach viaduct (structural SLR exposure),
247,38.675366,-8.947744,6.089,False,Bridge south approach viaduct (structural SLR exposure),
248,38.675742,-8.947428,5.556,False,Bridge south approach viaduct (structural SLR exposure),
249,38.676117,-8.947112,5.303,False,Bridge south approach viaduct (structural SLR exposure),
250,38.676493,-8.946796,4.809,False,Bridge south approach viaduct (structural SLR exposure),
251,38.676869,-8.946479,5.33,False,Bridge south approach viaduct (structural SLR exposure),
252,38.677245,-8.946163,7.366,False,Bridge south approach viaduct (structural SLR exposure),
253,38.67762,-8.945847,8.109,False,Bridge south approach viaduct (structural SLR exposure),
254,38.677996,-8.94553,9.256,False,Bridge south approach viaduct (structural SLR exposure),
255,38.678372,-8.945214,10.582,False,Bridge south approach viaduct (structural SLR exposure),
256,38.678748,-8.944898,11.435,False,Bridge south approach viaduct (structural SLR exposure),
257,38.679124,-8.944581,12.051,False,Bridge south approach viaduct (structural SLR exposure),
258,38.679499,-8.944265,12.835,False,Bridge south approach viaduct (structural SLR exposure),
259,38.679875,-8.943949,12.891,False,Bridge south approach viaduct (structural SLR exposure),
260,38.680251,-8.943632,12.742,False,Bridge south approach viaduct (structural SLR exposure),
261,38.680627,-8.943316,13.626,False,Bridge south approach viaduct (structural SLR exposure),
262,38.681002,-8.943,14.689,False,Bridge south approach viaduct (structural SLR exposure),
263,38.681378,-8.942684,15.788,False,Bridge south approach viaduct (structural SLR exposure),
264,38.681754,-8.942367,16.393,False,Bridge south approach viaduct (structural SLR exposure),
265,38.68213,-8.942051,16.534,False,Bridge south approach viaduct (structural SLR exposure),
266,38.682505,-8.941735,17.55,False,Bridge south approach viaduct (structural SLR exposure),
267,38.682881,-8.941418,18.901,False,Bridge south approach viaduct (structural SLR exposure),
268,38.683141,-8.941194,19.759,False,Bridge south approach viaduct (structural SLR exposure),
269,38.682753,-8.941484,18.523,False,Bridge south approach viaduct (structural SLR exposure),
270,38.682374,-8.941795,17.284,False,Bridge south approach viaduct (structural SLR exposure),
271,38.682006,-8.942125,16.466,False,Bridge south approach viaduct (structural SLR exposure),
272,38.681642,-8.942464,16.335,False,Bridge south approach viaduct (structural SLR exposure),
273,38.68128,-8.942805,15.364,False,Bridge south approach viaduct (structural SLR exposure),
274,38.681125,-8.942963,14.84,False,Bridge south approach viaduct (structural SLR exposure),
275,38.681481,-8.94261,16.052,False,Bridge south approach viaduct (structural SLR exposure),
276,38.681836,-8.942257,16.449,False,Bridge south approach viaduct (structural SLR exposure),
277,38.682191,-8.941904,16.887,False,Bridge south approach viaduct (structural SLR exposure),
278,38.682547,-8.941551,18.121,False,Bridge south approach viaduct (structural SLR exposure),
279,38.682902,-8.941198,19.605,False,Bridge south approach viaduct (structural SLR exposure),
280,38.683292,-8.940913,20.338,False,Bridge south approach viaduct (structural SLR exposure),
281,38.683694,-8.940655,19.703,False,Bridge south approach viaduct (structural SLR exposure),
282,38.684105,-8.940422,19.515,False,Bridge south approach viaduct (structural SLR exposure),
283,38.683988,-8.940515,19.289,False,Bridge south approach viaduct (structural SLR exposure),
284,38.683586,-8.940774,19.868,False,Bridge south approach viaduct (structural SLR exposure),
285,38.683184,-8.941033,20.222,False,Bridge south approach viaduct (structural SLR exposure),
286,38.682782,-8.941292,19.122,False,Bridge south approach viaduct (structural SLR exposure),
287,38.683014,-8.941117,19.928,False,Bridge south approach viaduct (structural SLR exposure),
288,38.683419,-8.940869,20.128,False,Bridge south approach viaduct (structural SLR exposure),
289,38.683825,-8.94062,19.39,False,Bridge south approach viaduct (structural SLR exposure),
290,38.684231,-8.940372,19.754,False,Bridge south approach viaduct (structural SLR exposure),
291,38.684647,-8.940156,21.486,False,Bridge south approach viaduct (structural SLR exposure),
292,38.685072,-8.939967,22.788,False,Bridge south approach viaduct (structural SLR exposure),
293,38.685509,-8.939833,23.659,False,Bridge south approach viaduct (structural SLR exposure),
